,Date,Home/Away,Opp,Rate,Miles Traveled
0,2022-09-11,1,ARI,144.2,1060.663953285305
1,2022-09-15,0,LAC,106.2,1369.2035851117962
2,2022-09-25,1,IND,78.5,447.8121115399407
3,2022-10-02,1,TAM,97.7,1028.000635789037
4,2022-10-10,0,LVR,117.6,1151.8097998248295
5,2022-10-16,0,BUF,85.2,859.4836982850019
6,2022-10-23,1,SFO,132.4,1494.0506548426629
7,2022-11-06,0,TEN,80.9,467.30518269979893
8,2022-11-13,0,JAX,129.6,945.2610768630321
9,2022-11-20,1,LAC,120.8,1369.2035851117962
10,2022-11-27,0,LAR,85.4,1369.2035851117962
11,2022-12-04,1,CIN,98.2,535.7332715328687
12,2022-12-11,1,DEN,86.6,565.6581125183884
13,2022-12-18,1,HOU,117.1,647.6224225137961
14,2022-12-24,0,SEA,106.8,1512.056347459
15,2023-01-01,0,DEN,106.1,565.6581125183884
16,2023-01-07,1,LVR,105.0,1151.8097998248295
